,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
36754,TRLH3/1001710092,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001710092?gameHash=5a5422ca367262e9&amp;tab=overview,EU LCS,2016,Summer,0,2016-07-09 13:38:39,1,6.13,100,Blue,team,,FC Schalke 04 Esports,,Bard,Vladimir,Irelia,,,2081,0,3,13,3,3,13,0.0,0.0,0.0,0.0,0.0,,,,0.0865,0.4613,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,10.0,1.0,0.0,0.0,1.0,41881.0,1207.5252,,2781.8549,0.0,105.0,3.0274,33.0,0.9515,25.0,0.0,0.0,52516,30014.0,865.3724,,50685.0,-0.180398,,929.0,129.0,116.0,13.0,30.5046,14302.0,18492.0,288.0,15239.0,19184.0,305.0,-937.0,-692.0,-17.0,0.0,0.0,1.0,1.0,2.0,0.0,22551.0,29149.0,467.0,23562.0,29582.0,477.0,-1011.0,-433.0,-10.0,0.0,0.0,1.0,1.0,2.0,0.0
36803,TRLH3/1001710102,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001710102?gameHash=8287c92c758ba77b&amp;tab=overview,EU LCS,2016,Summer,0,2016-07-09 14:42:48,2,6.13,200,Red,team,,FC Schalke 04 Esports,,Rek'Sai,Vladimir,Nidalee,,,1741,0,8,21,18,8,21,1.0,0.0,0.0,0.0,0.0,,,,0.2757,0.9994,0.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,9.0,1.0,1.0,0.0,1.0,38140.0,1314.417,,2554.8076,0.0,82.0,2.826,22.0,0.7582,14.0,0.0,0.0,47953,28919.0,996.6341,,45685.0,-0.145111,,738.0,121.0,94.0,27.0,29.6037,16320.0,16337.0,274.0,15908.0,15246.0,235.0,412.0,1091.0,39.0,2.0,3.0,2.0,2.0,2.0,2.0,24180.0,26598.0,454.0,25261.0,25660.0,370.0,-1081.0,938.0,84.0,3.0,6.0,7.0,7.0,13.0,3.0
38567,TRLH3/1001720176,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001720176?gameHash=a5af20a3a1821f33&amp;tab=overview,EU LCS,2016,Summer,0,2016-07-14 17:02:37,1,6.13,200,Red,team,,FC Schalke 04 Esports,,Jhin,Karma,Syndra,,,2441,0,9,13,24,9,13,0.0,0.0,0.0,0.0,0.0,,,,0.2212,0.5408,0.0,3.0,2.0,3.0,2.0,0.0,0.0,2.0,1.0,,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,8.0,8.0,1.0,0.0,1.0,1.0,86272.0,2120.5735,,2814.8382,0.0,140.0,3.4412,69.0,1.696,34.0,0.0,0.0,74466,48292.0,1187.0217,,72475.0,0.156673,,1126.0,176.0,128.0,48.0,32.0033,15984.0,17038.0,273.0,14975.0,14804.0,238.0,1009.0,2234.0,35.0,1.0,1.0,1.0,1.0,3.0,1.0,25036.0,28319.0,481.0,23547.0,25689.0,431.0,1489.0,2630.0,50.0,1.0,1.0,1.0,1.0,3.0,1.0
38590,TRLH3/1001720187,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001720187?gameHash=2726ed32007dc2a1&amp;tab=overview,EU LCS,2016,Summer,0,2016-07-14 18:09:33,2,6.13,100,Blue,team,,FC Schalke 04 Esports,,Syndra,Varus,Azir,,,2424,1,12,8,32,12,8,3.0,1.0,0.0,0.0,0.0,,,,0.297,0.495,0.0,2.0,3.0,2.0,2.0,0.0,1.0,0.0,1.0,,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,11.0,4.0,1.0,1.0,2.0,0.0,84676.0,2095.9406,,2264.6535,0.0,138.0,3.4158,62.0,1.5347,31.0,0.0,0.0,76955,50954.0,1261.2376,,67303.0,0.0590143,,1084.0,193.0,146.0,47.0,31.6089,16789.0,15821.0,273.0,15650.0,14683.0,236.0,1139.0,1138.0,37.0,1.0,2.0,2.0,2.0,4.0,1.0,24563.0,26318.0,450.0,24320.0,25596.0,417.0,243.0,722.0,33.0,2.0,4.0,3.0,3.0,7.0,2.0
38830,TRLH3/1001720233,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001720233?gameHash=df9efddc716a82d7&amp;tab=overview,EU LCS,2016,Summer,0,2016-07-15 16:55:12,1,6.13,100,Blue,team,,FC Schalke 04 Esports,,Irelia,Karma,Olaf,,,2985,1,14,7,51,14,7,2.0,1.0,0.0,0.0,0.0,,,,0.2814,0.4221,0.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,8.0,8.0,0.0,0.0,1.0,3.0,121916.0,2450.5729,,3071.0151,0.0,177.0,3.5578,72.0,1.4472,34.0,0.0,0.0,91804,60081.0,1207.6583,,80283.0,-0.0834005,,1458.0,184.0,163.0,21.0,33.005,14525.0,18783.0,312.0,14857.0,18477.0,318.0,-332.0,306.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,21772.0,28366.0,484.0,23826.0,30297.0,525.0,-2054.0,-1931.0,-41.0,0.0,0.0,0.0,0.0,0.0,0.0
38855,TRLH3/1001720247,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001720247?gameHash=912b67ffce4af7ec&amp;tab=overview,EU LCS,2016,Summer,0,2016-07-15 18:12:44,2,6.13,200,Red,team,,FC Schalke 04 Esports,,Nidalee,Azir,Karma,,,2342,0,6,11,13,6,11,0.0,0.0,0.0,0.0,0.0,,,,0.1537,0.4355,0.0,1.0,4.0,1.0,4.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,11.0,0.0,0.0,0.0,3.0,67150.0,1720.3245,,2395.4398,0.0,151.0,3.8685,54.0,1.3834,24.0,0.0,0.0,59801,34637.0,887.3698,,54428.0,-0.263389,,992.0,130.0,114.0,16.0,28.7447,15306.0,15565.0,265.0,15458.0,15033.0,262.0,-152.0,532.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,22529.0,24819.0,414.0,24903.0,27076.0,450.0,-2374.0,-2257.0,-36.0,1.0,1.0,2.0,2.0,3.0,1.0
40678,TRLH3/1001730051,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001730051?gameHash=53076015edd57d51&amp;tab=overview,EU LCS,2016,Summer,0,2016-07-21 18:49:13,1,6.14,100,Blue,team,,FC Schalke 04 Esports,,Caitlyn,Lucian,Kassadin,,,2383,0,5,17,12,5,17,0.0,0.0,0.0,0.0,1.0,,,,0.1259,0.5539,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,10.0,0.0,0.0,0.0,2.0,67025.0,1687.5787,,2574.3852,0.0,126.0,3.1725,65.0,1.6366,26.0,0.0,0.0,64990,39407.0,992.2031,,62060.0,-0.132382,,1159.0,156.0,147.0,9.0,33.1095,14442.0,17395.0,281.0,15296.0,18028.0,293.0,-854.0,-633.0,-12.0,1.0,1.0,2.0,2.0,3.0,1.0,22796.0,29271.0,475.0,24107.0,28773.0,474.0,-1311.0,498.0,1.0,2.0,2.0,3.0,3.0,5.0,2.0
40691,TRLH3/1001730057,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001730057?gameHash=7b8640fd807e3a2c&amp;tab=overview,EU LCS,2016,Summer,0,2016-07-21 19:51:47,2,6.14,200,Red,team,,FC Schalke 04 Esports,,Caitlyn,Swain,Nidalee,,,2116,0,9,20,23,9,20,2.0,0.0,0.0,0.0,0.0,,,,0.2552,0.8223,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,10.0,0.0,0.0,0.0,2.0,80899.0,2293.9225,,3124.3667,0.0,106.0,3.0057,67.0,1.8998,22.0,0.0,0.0,58260,35401.0,1003.8091,,55678.0,-0.133224,,902.0,125.0,111.0,14.0,29.121,14428.0,16045.0,242.0,16074.0,16021.0,278.0,-1646.0,24.0,-36.0,0.0,0.0,1.0,1.0,1.0,0.0,22955.0,27171.0,439.0,24229.0,27732.0,483.0,-1274.0,-561.0,-44.0,0.0,0.0,1.0,1.0,1.0,0.0
41015,TRLH3/1001730081,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001730081?gameHash=f23b44bd031c20bf&amp;tab=overview,EU LCS,2016,Summer,0,2016-07-22 16:38:08,1,6.14,200,Red,team,,FC Schalke 04 Esports,,Nidalee,Karma,Olaf,,,1662,0,3,11,4,3,11,0.0,0.0,0.0,0.0,1.0,,,,0.1083,0.5054,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,10.0,0.0,1.0,0.0,2.0,31635.0,1142.0578,,2756.4621,0.0,86.0,3.1047,28.0,1.0108,16.0,0.0,0.0,43645,25417.0,917.5812,,41025.0,-0.188142,,742.0,121.0,93.0,28.0,31.1552,17064.0,16444.0,274.0,16369.0,15969.0,276.0,695.0,475.0,-2.0,1.0,1.0,0.0,0.0,0.0,1.0,24830.0,27361.0,467.0,25488.0,27612.0,478.0,-658.0,-251.0,-11.0,1.0,1.0,1.0,1.0,2.0,1.0
41050,TRLH3/1001730093,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001730093?gameHash=3547bdb2f1478f9d&amp;tab=overview,EU LCS,2016,Summer,0,2016-07-22 17:35:22,2,6.14,100,Blue,team,,FC Schalke 04 Esports,,Olaf,Gangplank,Kassadin,,,2344,0,7,19,23,7,19,1.0,0.0,0.0,0.0,0.0,,,,0.1792,0.6655,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,4.0,8.0,0.0,0.0,0.0,1.0,61993.0,1586.8515,,2972.4573,0.0,127.0,3.2509,49.0,1.2543,24.0,0.0,0.0,63369,38184.0,977.4061,,61888.0,-0.139238,,1002.0,169.0,149.0,20.0,29.9744,15706.0,16434.0,278.0,15442.0,14969.0,267.0,264.0,1465.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,23379.0,26488.0,448.0,23801.0,25542.0,438.0,-422.0,946.0,10.0,0.0,0.0,1.0,1.0,3.0,0.0
