,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Graves,4,0,4,0%,2.75,2.25,2.75,2.44,264.25,8.25,12.4,388,75.9%,37.9%,23.8%
Kha'Zix,3,3,0,100%,5.67,2,8,6.83,220.33,6.26,13.6,386,75.9%,31.5%,20.4%
Lee Sin,3,2,1,66.7%,2.67,2.67,5,2.88,208,6.22,11.5,343,60.5%,21.1%,18.1%
Sett,3,1,2,33.3%,1.33,3.67,6,2,161.33,4.99,9.5,293,59.5%,10.8%,16.7%
Volibear,2,1,1,50%,3,2.5,8.5,4.6,149.5,4.85,10.2,331,69.7%,18.2%,18.5%
Gragas,1,1,0,100%,4,0,4,8,214,6.91,12.1,391,66.7%,33.3%,19.8%
Nocturne,1,1,0,100%,3,2,10,6.5,247,6.83,14.2,392,72.2%,16.7%,18.9%
Rek'Sai,1,0,1,0%,1,3,0,0.33,177,5.45,9.1,279,100%,100%,17.7%
