,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Nocturne,4,1,3,25%,1.75,2.5,3.75,2.2,193.25,5.53,11.2,319,51.2%,16.3%,18.3%
Jarvan IV,3,0,3,0%,0.67,5.33,6.67,1.38,158.33,4.36,9.7,267,78.6%,7.1%,16.3%
Lee Sin,3,0,3,0%,1.33,4,2.67,1,152.67,4.38,9.8,282,57.1%,19%,16.6%
Gragas,1,1,0,100%,3,0,5,8,226,5.73,14.2,359,61.5%,23.1%,18.8%
Kha'Zix,1,1,0,100%,3,2,7,5,219,6.02,13.6,372,40%,12%,18.4%
Olaf,1,1,0,100%,3,1,7,10,192,5.03,12.2,321,83.3%,25%,17.8%
Aatrox,1,0,1,0%,0,4,1,0.25,148,5.55,7.4,276,100%,0%,18.4%
