,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
LeBlanc,3,2,1,66.7%,4.67,1.67,5.33,6,232,7.82,11.8,399,73.2%,34.1%,22.1%
Orianna,3,2,1,66.7%,2.67,1.67,4.67,4.4,379.67,9.6,16.2,409,56.4%,20.5%,23.4%
Lissandra,3,1,2,33.3%,1.33,3,5,2.11,313.33,7.93,13.8,349,73.1%,15.4%,20.5%
Akali,2,1,1,50%,4.5,2.5,3.5,3.2,245.5,7.75,12.1,382,51.6%,29%,21.9%
Syndra,2,1,1,50%,4.5,3.5,5.5,2.86,326.5,8.6,16.4,433,55.6%,25%,23.6%
Zoe,2,0,2,0%,1,1,1.5,2.5,285,8.44,11.6,344,50%,20%,21.6%
Corki,1,0,1,0%,2,6,4,1,234,7.66,10.6,347,75%,25%,21.6%
Urgot,1,0,1,0%,3,6,5,1.33,228,7.81,10.3,354,88.9%,33.3%,21.9%
Viktor,1,0,1,0%,4,4,9,3.25,374,7.94,18.8,399,65%,20%,23.3%
