,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Caitlyn,1,0,1,0%,1,4,1,0.5,312,9.69,12.2,378,66.7%,33.3%,24.7%
Ezreal,1,0,1,0%,2,3,4,2,293,9.81,13.6,454,66.7%,22.2%,26.7%
Lucian,1,0,1,0%,8,1,7,15,479,10.97,22.8,522,88.2%,47.1%,29.5%
