,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Karma,2,2,0,100%,2.5,0,11,27,31.5,0.94,9,269,73%,13.5%,13.5%
Tahm Kench,2,1,1,50%,0.5,3.5,9,2.71,27.5,1.05,6.3,240,67.9%,3.6%,12.8%
Bard,2,0,2,0%,0,2.5,1.5,0.6,45,1.14,8,201,37.5%,0%,12%
Thresh,1,1,0,100%,1,3,12,4.33,29,0.86,8.4,247,72.2%,5.6%,12.9%
