,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Thresh,3,3,0,100%,0.33,1.67,12.67,7.8,14.33,0.54,7.2,270,69.6%,1.8%,13.4%
Alistar,3,2,1,66.7%,1.33,3.67,11.33,3.45,36.67,1.28,8.1,283,65.5%,6.9%,13.7%
Galio,3,2,1,66.7%,0.67,5,12.67,2.67,62.33,1.69,8.9,241,75.5%,3.8%,12.8%
Braum,2,2,0,100%,1.5,0.5,7.5,18,45.5,2.08,7,321,62.1%,10.3%,15.9%
Rakan,2,2,0,100%,1.5,2,14.5,8,7.5,0.3,7.5,296,88.9%,8.3%,14.8%
Pyke,2,1,1,50%,2,2.5,10,4.8,71.5,1.96,10.4,284,72.7%,12.1%,15.4%
Morgana,1,1,0,100%,0,7,8,1.14,16,0.36,9.7,217,53.3%,0%,12.2%
