,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Tahm Kench,5,2,3,40%,0.6,4.2,6.8,1.76,60.2,1.87,7.8,243,48.1%,3.9%,13.4%
Rakan,4,3,1,75%,1.25,1.75,10.5,6.71,12,0.47,7.1,282,81%,8.6%,14.6%
Galio,3,1,2,33.3%,0,6.33,7.33,1.16,57.67,1.8,7.2,223,61.1%,0%,12.8%
Morgana,2,2,0,100%,0.5,1.5,13,9,16,0.51,8.9,287,75%,2.8%,14.3%
Braum,1,1,0,100%,0,2,13,6.5,54,1.54,8.8,252,76.5%,0%,13.5%
Nautilus,1,1,0,100%,2,2,8,5,65,2.15,8.5,282,58.8%,11.8%,14.4%
Thresh,1,1,0,100%,0,1,7,7,16,0.57,7.3,263,36.8%,0%,13.2%
Taric,1,0,1,0%,0,2,5,2.5,105,4.26,6.3,254,83.3%,0%,15.8%
