,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Renekton,2,2,0,100%,3,2,6,4.5,199.5,7.07,11.3,400,54.5%,18.2%,20.5%
Sion,1,1,0,100%,5,0,7,12,259,7.08,14.6,400,63.2%,26.3%,21.3%
Vladimir,1,1,0,100%,2,1,7,9,260,8.39,12.6,407,56.3%,12.5%,21.2%
Camille,1,0,1,0%,1,2,3,2,214,7.53,9.8,344,80%,20%,22.3%
Kennen,1,0,1,0%,4,5,2,1.2,224,7.16,11.9,382,42.9%,28.6%,22.6%
Ornn,1,0,1,0%,2,3,6,2.67,234,7.39,11.2,353,72.7%,18.2%,21.4%
