,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Olaf,4,3,1,75%,3.5,1.5,5,5.67,170.5,5.17,11.5,348,58.6%,24.1%,19.4%
Skarner,4,0,4,0%,0.75,3.5,5.5,1.79,135.25,4.16,8.9,273,71.4%,8.6%,16.7%
Sejuani,2,2,0,100%,3.5,2,8.5,6,159,4.03,13,331,75%,21.9%,17.8%
Sylas,2,1,1,50%,1,3.5,9,2.86,167,4.73,11,313,60.6%,6.1%,16.9%
Rek'Sai,2,0,2,0%,2,2.5,3,2,121.5,4.3,8,282,55.6%,22.2%,18.2%
Qiyana,1,1,0,100%,3,0,9,12,148,4.53,10.3,316,75%,18.8%,18.2%
Elise,1,0,1,0%,2,5,5,1.4,107,4.3,7.1,284,87.5%,25%,18.8%
Evelynn,1,0,1,0%,9,5,6,3,179,5.65,13.6,427,60%,36%,23.8%
Jarvan IV,1,0,1,0%,0,4,6,1.5,145,4.75,8.3,272,85.7%,0%,17.5%
