,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Olaf,3,2,1,66.7%,3,3,4.67,2.56,122,4.14,-,-,65.7%,25.7%,-
Lee Sin,3,1,2,33.3%,2.67,1.67,3.67,3.8,147.67,4.34,-,-,73.1%,30.8%,-
