,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Olaf,3,1,2,33.3%,3.67,3.67,2.33,1.64,169.33,5.57,10,328,58.1%,35.5%,19.5%
Elise,2,2,0,100%,4.5,1,9.5,14,209.5,5.65,13.9,375,73.7%,23.7%,19.7%
Jarvan IV,1,1,0,100%,1,3,11,4,202,4.7,12.1,281,92.3%,7.7%,16.3%
Xin Zhao,1,1,0,100%,0,0,6,6,198,6.67,10.3,348,66.7%,0%,18.2%
Lee Sin,1,0,1,0%,1,3,0,0.33,167,5.54,8.6,285,100%,100%,18.8%
Sejuani,1,0,1,0%,0,4,2,0.5,128,4.49,7.3,257,50%,0%,17.3%
