,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Graves,6,5,1,83.3%,2.33,0.83,5.83,9.8,239,6.74,12.9,364,62%,17.7%,19.8%
Lee Sin,5,5,0,100%,2.4,1.6,6.8,5.75,209.8,5.38,12.7,326,73%,19%,17.4%
Trundle,4,3,1,75%,0.5,1,8.5,9,147.25,4.8,9.2,300,85.7%,4.8%,17.1%
Volibear,3,2,1,66.7%,1,1,7.33,8.33,187,5.28,11.1,314,69.4%,8.3%,17.4%
