,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Lee Sin,5,3,2,60%,2.6,1.8,7,5.33,189.8,5.21,11.8,324,77.4%,21%,18.4%
Hecarim,3,2,1,66.7%,2.67,3.67,9,3.18,236.67,5.67,13.8,331,61.4%,14%,18.3%
Volibear,2,1,1,50%,1.5,1.5,4.5,4,147.5,4.34,9.3,275,60%,15%,16.3%
Trundle,1,1,0,100%,2,0,8,10,155,4.48,10.9,314,71.4%,14.3%,16.8%
Graves,1,0,1,0%,5,3,3,2.67,268,6.38,14.4,343,88.9%,55.6%,20.2%
Lillia,1,0,1,0%,6,3,6,4,269,5.37,16.5,329,92.3%,46.2%,20.6%
