,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Graves,2,2,0,100%,6,1.5,9.5,10.33,227.5,7.21,14,444,77.5%,30%,22.3%
Jarvan IV,1,1,0,100%,2,0,9,11,150,5.49,9,330,100%,18.2%,18.1%
Lee Sin,1,1,0,100%,3,2,15,9,111,5.04,8.5,386,62.1%,10.3%,18%
Olaf,1,1,0,100%,4,2,13,8.5,231,5.78,13.9,348,70.8%,16.7%,19%
Skarner,1,1,0,100%,3,0,14,17,158,5.42,10.5,359,85%,15%,18.2%
