,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Orianna,4,3,1,75%,2.5,1.25,5.75,6.6,275.5,9.09,12.3,406,68.8%,20.8%,22.3%
Sylas,2,2,0,100%,3,2,6.5,4.75,249.5,8.41,11.9,402,61.3%,19.4%,20.7%
Zoe,2,1,1,50%,2,2,3.5,2.75,241,7.75,11.2,360,45.8%,16.7%,20.9%
Ekko,1,1,0,100%,0,3,9,3,283,8.62,12.5,380,52.9%,0%,19.6%
Syndra,1,1,0,100%,2,2,3,2.5,340,10.05,14.2,420,33.3%,13.3%,22%
Galio,1,0,1,0%,0,5,9,1.8,213,6.09,10.8,310,64.3%,0%,18.2%
Rumble,1,0,1,0%,1,4,3,1,231,7.91,10.1,344,57.1%,14.3%,21.3%
Twisted Fate,1,0,1,0%,3,5,5,1.6,203,6.93,11,376,72.7%,27.3%,23.5%
