,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Nautilus,3,2,1,66.7%,0,4,11.67,2.92,51.67,1.36,8.8,231,71.4%,0%,12.6%
Seraphine,3,2,1,66.7%,0.67,1.33,11.67,9.25,50.33,1.38,9.6,263,88.1%,4.8%,14.6%
Rell,2,1,1,50%,0,4,6,1.5,32,1.12,6.2,217,57.1%,0%,12.5%
Rakan,1,1,0,100%,0,3,10,3.33,29,0.74,8.2,208,83.3%,0%,12%
Thresh,1,1,0,100%,0,1,12,12,45,1.27,8.5,238,80%,0%,12.7%
Alistar,1,0,1,0%,1,3,4,1.67,39,1.51,5.8,224,38.5%,7.7%,13.6%
Gragas,1,0,1,0%,1,3,1,0.67,59,1.64,7.7,214,25%,12.5%,12.4%
Shen,1,0,1,0%,2,3,3,1.67,42,1.23,7.8,226,62.5%,25%,12.8%
