,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Graves,3,3,0,100%,9.67,1,5,14.67,197.67,8.06,12.2,498,65.7%,43.3%,24.6%
Trundle,3,3,0,100%,3,2,9.67,6.33,168.67,5.03,11.3,338,52.1%,12.3%,17.5%
Nidalee,2,1,1,50%,1.5,2.5,5.5,2.8,204,6.16,11,334,41.2%,8.8%,18.3%
Kindred,1,1,0,100%,6,3,12,6,198,6.47,12.8,418,52.9%,17.6%,19.4%
Rek'Sai,1,1,0,100%,4,0,9,13,153,5.4,9.5,336,44.8%,13.8%,17.3%
Sylas,1,1,0,100%,9,6,12,3.5,174,4.69,13,350,60%,25.7%,18.3%
