,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Ezreal,4,3,1,75%,2.25,1.5,4.25,4.33,332.75,8.64,15.9,413,72.2%,25%,23.6%
Sivir,4,2,2,50%,1.25,0.25,2.75,16,398.25,10.71,15.6,420,61.5%,19.2%,24.3%
Lucian,4,0,4,0%,1.5,2,2.75,2.13,350.25,9.51,14.4,391,65.4%,23.1%,23.5%
Jinx,1,1,0,100%,4,2,6,5,365,10.35,16,454,71.4%,28.6%,24%
Kalista,1,1,0,100%,5,0,7,12,329,9.74,15.6,462,85.7%,35.7%,25.2%
Kai'Sa,1,0,1,0%,2,3,0,0.67,225,8.19,10.3,376,50%,50%,24.2%
Xayah,1,0,1,0%,1,4,1,0.5,336,9.19,13.3,364,25%,12.5%,22.2%
