,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Rek'Sai,4,2,2,50%,5.25,2.25,5,4.56,178,5.3,12.6,375,65.1%,33.3%,20.3%
Nunu,3,2,1,66.7%,1,2,9.33,5.17,180.67,5.54,11,338,86.1%,8.3%,19.2%
Camille,2,2,0,100%,6,4.5,11.5,3.89,166,4.99,13.1,395,77.8%,26.7%,19.6%
Lee Sin,2,1,1,50%,4,5.5,3.5,1.36,126,4.24,9.9,333,60%,32%,18.9%
Riven,2,1,1,50%,0.5,2,7.5,4,207.5,6.02,11.8,343,80%,5%,19.2%
Evelynn,1,0,1,0%,2,4,4,1.5,132,5.46,8.3,344,75%,25%,20.1%
Karthus,1,0,1,0%,2,2,0,1,193,6.6,10.1,346,100%,100%,22.8%
Kha'Zix,1,0,1,0%,2,4,1,0.75,218,5.99,12.3,338,50%,33.3%,19.7%
Kindred,1,0,1,0%,2,4,0,0.5,158,5.65,8.7,312,33.3%,33.3%,20.1%
Skarner,1,0,1,0%,1,1,13,14,163,4.55,10.6,297,82.4%,5.9%,16.2%
